Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
493955,85113,POLKA DOT PISTACHIO PAIL,6.0,2010-01-08 14:12:00,2.1,14016.0,EIRE
494827,79341,WILLOW BRANCH LIGHTS.,4.0,2010-01-19 10:41:00,6.75,15623.0,United Kingdom
502765,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,1.0,2010-03-26 14:01:00,2.55,17371.0,United Kingdom
508736,84946,ANTIQUE SILVER TEA GLASS ETCHED,12.0,2010-05-18 10:50:00,1.25,14304.0,United Kingdom
496774,20711,JUMBO BAG TOYS ,10.0,2010-02-03 15:52:00,1.95,13562.0,United Kingdom
492168,22215,CAKE STAND WHITE TWO TIER LACE,2.0,2009-12-15 14:34:00,8.5,13823.0,United Kingdom
499897,84932C,SMALL ORIENTAL BLUE FOLDING STOOL,8.0,2010-03-03 11:53:00,1.95,14298.0,United Kingdom
513498,21545,CERAMIC BIRDHOUSE BUTTERFLY SMALL,6.0,2010-06-25 10:22:00,2.95,14911.0,EIRE
507261,84625D,WHITE NEWBAROQUE CANDLESTICK CANDLE,2.0,2010-05-07 12:20:00,2.95,12872.0,United Kingdom
C494629,84212,"ASSORTED FLOWER COLOUR ""LEIS""",-72.0,2010-01-15 16:48:00,0.65,13983.0,United Kingdom
497498,84029E,RED WOOLLY HOTTIE WHITE HEART.,36.0,2010-02-10 09:41:00,2.95,13777.0,United Kingdom
501732,22133,PINK LOVE HEART SHAPE CUP,12.0,2010-03-19 11:10:00,0.85,14292.0,United Kingdom
511969,22422,TOOTHPASTE TUBE PEN,12.0,2010-06-11 13:55:00,0.65,13304.0,United Kingdom
519927,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,24.0,2010-08-22 15:12:00,0.85,17095.0,United Kingdom
494647,20728,LUNCH BAG CARS BLUE,10.0,2010-01-17 12:25:00,1.65,17920.0,United Kingdom
499676,21383,PACK OF 12 STICKY BUNNIES,6.0,2010-03-01 16:29:00,0.65,17116.0,United Kingdom
509424,21161,KEEP OUT BOYS DOOR HANGER ,1.0,2010-05-23 13:16:00,1.45,17596.0,United Kingdom
518219,22489,PACK OF 12 TRADITIONAL CRAYONS,24.0,2010-08-05 13:21:00,0.42,16105.0,United Kingdom
494666,22148,EASTER CRAFT 4 CHICKS ,3.0,2010-01-17 14:53:00,1.95,13869.0,United Kingdom
