StockCode,p_name,Description,Price,Quantity,Vendor
85048,Cm Christmas Glass Ball,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6.95,1,Dell Technologies
79323P,Pink Cherry Lights,PINK CHERRY LIGHTS,6.75,22,Samsung Ltd.
79323W,White Cherry Lights, WHITE CHERRY LIGHTS,6.75,21,Samsung Ltd.
22041,Record Frame Single Size,"RECORD FRAME 7"" SINGLE SIZE ",2.1,42,Apple Inc.
21232,Strawberry Ceramic Trinket Box,STRAWBERRY CERAMIC TRINKET BOX,1.25,90,Samsung Ltd.
22064,Pink Doughnut Trinket Pot,PINK DOUGHNUT TRINKET POT ,1.65,48,Philips
21871,Save The Planet Mug,SAVE THE PLANET MUG,1.25,15,Dell Technologies
21523,Fancy Font Home Sweet,FANCY FONT HOME SWEET HOME DOORMAT,5.95,41,Samsung Ltd.
22350,Cat Bowl,CAT BOWL ,2.55,89,Dell Technologies
22349,Dog Bowl Chasing Ball,"DOG BOWL , CHASING BALL DESIGN",3.75,62,Samsung Ltd.
22195,Heart Measuring Spoons Large,HEART MEASURING SPOONS LARGE,1.65,18,Apple Inc.
22353,Lunchbox With Cutlery Fairy,LUNCHBOX WITH CUTLERY FAIRY CAKES ,2.55,8,Dell Technologies
48173C,Door Mat Black Flock,DOOR MAT BLACK FLOCK ,5.95,31,Dell Technologies
21755,Love Building Block Word,LOVE BUILDING BLOCK WORD,5.45,21,Sony Corp.
21754,Home Building Block Word,HOME BUILDING BLOCK WORD,5.95,52,Sony Corp.
84879,Assorted Colour Bird Ornament,ASSORTED COLOUR BIRD ORNAMENT,1.69,76,Philips
22119,Peace Wooden Block Letters, PEACE WOODEN BLOCK LETTERS,6.95,42,Samsung Ltd.
22142,Christmas Craft White Fairy,CHRISTMAS CRAFT WHITE FAIRY ,1.45,91,Philips
22296,Heart Ivory Trellis Large,HEART IVORY TRELLIS LARGE,1.65,39,Sony Corp.
22295,Heart Filigree Dove Large,HEART FILIGREE DOVE LARGE,1.65,74,LG Electronics
22109,Full English Breakfast Plate,FULL ENGLISH BREAKFAST PLATE,3.39,69,Dell Technologies
22107,Pizza Plate In Box,PIZZA PLATE IN BOX,3.75,57,Dell Technologies
22194,Black Diner Wall Clock,BLACK DINER WALL CLOCK,8.5,77,Sony Corp.
35004B,Set Of Black Flying,SET OF 3 BLACK FLYING DUCKS,4.65,81,Philips
82582,Area Patrolled Metal Sign,AREA PATROLLED METAL SIGN,2.1,86,Dell Technologies
21181,Please One Person Metal,PLEASE ONE PERSON  METAL SIGN,2.1,79,Dell Technologies
21756,Bath Building Block Word,BATH BUILDING BLOCK WORD,5.95,99,Sony Corp.
21333,Classic White Frame,CLASSIC WHITE FRAME,2.95,7,LG Electronics
84596F,Small Marshmallows Pink Bowl,SMALL MARSHMALLOWS PINK BOWL,1.25,88,LG Electronics
84596L,Biscuits Small Bowl Light,BISCUITS SMALL BOWL LIGHT BLUE,1.25,91,Samsung Ltd.
22111,Scottie Dog Hot Water,SCOTTIE DOG HOT WATER BOTTLE,4.25,24,LG Electronics
22143,Christmas Craft Heart Decorations,CHRISTMAS CRAFT HEART DECORATIONS,2.1,62,Dell Technologies
22145,Christmas Craft Heart Stocking,CHRISTMAS CRAFT HEART STOCKING ,2.1,18,LG Electronics
22130,Party Cone Christmas Decoration,PARTY CONE CHRISTMAS DECORATION ,0.85,76,Dell Technologies
21364,Peace Small Wood Letters,PEACE SMALL WOOD LETTERS,6.75,9,Samsung Ltd.
21360,Joy Large Wood Letters,JOY LARGE WOOD LETTERS,9.95,46,LG Electronics
21351,Cinammon Orange Wreath,CINAMMON & ORANGE WREATH,6.75,62,Apple Inc.
21352,Eucalyptus Pinecone Wreath,EUCALYPTUS & PINECONE  WREATH,6.75,65,Samsung Ltd.
35400,Wooden Box Advent Calendar,WOODEN BOX ADVENT CALENDAR ,8.95,86,LG Electronics
20695,Floral Blue Monster,FLORAL BLUE MONSTER,4.25,60,Samsung Ltd.
37370,Retro Coffee Mugs Assorted,RETRO COFFEE MUGS ASSORTED,1.25,38,Philips
10002,Inflatable Political Globe,INFLATABLE POLITICAL GLOBE ,0.85,36,Philips
84507B,Stripes Design Monkey Doll,STRIPES DESIGN MONKEY DOLL,2.55,16,Philips
20703,Blue Padded Soft Mobile,BLUE PADDED SOFT MOBILE,4.25,14,Samsung Ltd.
21987,Pack Of Skull Paper,PACK OF 6 SKULL PAPER CUPS,0.65,66,Dell Technologies
21989,Pack Of Skull Paper,PACK OF 20 SKULL PAPER NAPKINS,0.85,52,Philips
84970S,Hanging Heart Zinc T,HANGING HEART ZINC T-LIGHT HOLDER,0.85,64,Philips
20971,Pink Blue Felt Craft,PINK BLUE FELT CRAFT TRINKET BOX,1.25,23,Philips
22271,Feltcraft Doll Rosie,FELTCRAFT DOLL ROSIE,2.95,46,LG Electronics
22272,Feltcraft Doll Maria,FELTCRAFT DOLL MARIA,2.95,96,LG Electronics
22274,Feltcraft Doll Emily,FELTCRAFT DOLL EMILY,2.95,84,Dell Technologies
21912,Vintage Snakes Ladders,VINTAGE SNAKES & LADDERS,3.75,67,LG Electronics
22112,Chocolate Hot Water Bottle,CHOCOLATE HOT WATER BOTTLE,4.95,23,Sony Corp.
21329,Dinosaurs Writing Set,DINOSAURS  WRITING SET ,0.98,83,Samsung Ltd.
21252,Set Of Meadow Flower,SET OF MEADOW  FLOWER STICKERS,1.69,27,LG Electronics
21100,Charlie And Lola Charlotte,CHARLIE AND LOLA CHARLOTTE BAG,1.15,47,Dell Technologies
21033,Jumbo Bag Charlie And,JUMBO BAG CHARLIE AND LOLA TOYS,2.0,6,LG Electronics
20711,Jumbo Bag Toys,JUMBO BAG TOYS ,1.3,50,LG Electronics
21410,Country Cottage Doorstop Green,COUNTRY COTTAGE  DOORSTOP GREEN,2.5,82,Dell Technologies
21411,Gingham Heart Doorstop Red,GINGHAM HEART  DOORSTOP RED,2.5,47,Samsung Ltd.
84031A,Charlie Lola Red Hot,CHARLIE+LOLA RED HOT WATER BOTTLE ,3.0,55,Sony Corp.
84031B,Charlie Lola Blue Hot,CHARLIE LOLA BLUE HOT WATER BOTTLE ,3.0,81,Philips
84032A,Charlie Lola Pink Hot,CHARLIE+LOLA PINK HOT WATER BOTTLE,1.9,20,Sony Corp.
84032B,Charlie Lola Red Hot,CHARLIE + LOLA RED HOT WATER BOTTLE,1.9,9,Samsung Ltd.
84519A,Tomato Charlie Lola Coaster,TOMATO CHARLIE+LOLA COASTER SET,2.15,64,Dell Technologies
84519B,Carrot Charlie Lola Coaster,CARROT CHARLIE+LOLA COASTER SET,2.4,28,Sony Corp.
85132A,Charlie Lola Biscuits Tins,CHARLIE + LOLA BISCUITS TINS,6.38,25,Dell Technologies
85132C,Charlie And Lola Figures,CHARLIE AND LOLA FIGURES TINS,6.4,98,Dell Technologies
