"stockcode","p_name","description","price","quantity","vendor"
"85048","Cm Christmas Glass Ball","15CM CHRISTMAS GLASS BALL 20 LIGHTS","6.95","1","Dell Technologies"
"79323P","Pink Cherry Lights","PINK CHERRY LIGHTS","6.75","22","Samsung Ltd."
"79323W","White Cherry Lights"," WHITE CHERRY LIGHTS","6.75","21","Samsung Ltd."
"22041","Record Frame Single Size","""RECORD FRAME 7"""" SINGLE SIZE ""","2.1","42","Apple Inc."
"21232","Strawberry Ceramic Trinket Box","STRAWBERRY CERAMIC TRINKET BOX","1.25","90","Samsung Ltd."
"22064","Pink Doughnut Trinket Pot","PINK DOUGHNUT TRINKET POT ","1.65","48","Philips"
"21871","Save The Planet Mug","SAVE THE PLANET MUG","1.25","15","Dell Technologies"
"21523","Fancy Font Home Sweet","FANCY FONT HOME SWEET HOME DOORMAT","5.95","41","Samsung Ltd."
"22350","Cat Bowl","CAT BOWL ","2.55","89","Dell Technologies"
"22349","Dog Bowl Chasing Ball","""DOG BOWL ",,"3","62"
